'Measure Date and time','numberHoursLater,'temperatureForecast','humidityForecast','rainForecast'

18/04/2022 14:41:29,24,13.37,65,0.31
18/04/2022 14:43:18,24,14.47,79,
18/04/2022 14:43:25,24,14.47,79,
18/04/2022 14:46:47,24,14.47,79,
18/04/2022 14:46:54,24,14.47,79,
18/04/2022 14:47:01,24,14.47,79,
18/04/2022 15:00:03,24,14.55,78,
18/04/2022 15:00:36,24,14.55,78,
18/04/2022 15:00:45,24,14.55,78,
18/04/2022 15:00:54,24,14.55,78,
18/04/2022 15:01:02,24,14.55,78,
18/04/2022 15:01:11,24,14.55,78,
18/04/2022 15:01:19,24,14.55,78,
18/04/2022 15:06:00,24,14.55,78,
18/04/2022 15:09:19,24,14.55,78,
18/04/2022 15:09:27,24,14.55,78,
18/04/2022 15:09:39,24,14.55,78,
18/04/2022 15:09:57,24,14.55,78,
18/04/2022 15:10:08,24,14.55,78,
18/04/2022 15:13:47,24,14.55,78,
18/04/2022 15:13:56,24,14.55,78,
18/04/2022 15:14:03,24,14.55,78,
18/04/2022 15:14:11,24,14.55,78,
18/04/2022 15:16:30,24,14.55,78,
18/04/2022 15:16:39,24,14.55,78,
18/04/2022 15:19:51,24,14.55,78,
18/04/2022 15:19:59,24,14.55,78,
18/04/2022 15:21:35,24,14.55,78,
18/04/2022 15:21:43,24,14.55,78,
18/04/2022 15:21:53,24,14.55,78,
18/04/2022 15:22:45,24,14.55,78,
18/04/2022 15:22:53,24,14.55,78,
19/04/2022 10:46:30,24,12.86,80,
19/04/2022 10:46:38,24,12.86,80,
19/04/2022 10:46:46,24,12.86,80,
19/04/2022 10:48:39,24,12.86,80,
19/04/2022 10:48:48,24,12.86,80,
14/05/2022 13:23:57,24,19.05,81,
14/05/2022 13:24:34,24,19.05,81,
14/05/2022 13:24:42,24,19.05,81,
14/05/2022 13:33:02,24,19.05,81,
14/05/2022 13:33:10,24,19.05,81,
14/05/2022 13:44:26,24,19.05,81,
14/05/2022 13:44:34,24,19.05,81,
14/05/2022 13:57:11,24,18.98,80,
14/05/2022 13:57:54,24,18.98,80,
14/05/2022 13:58:02,24,18.98,80,
14/05/2022 13:58:44,24,19.05,81,
14/05/2022 13:58:52,24,19.05,81,
14/05/2022 13:59:50,24,18.98,80,,8.06
14/05/2022 13:59:58,24,18.98,80,,8.06
14/05/2022 14:12:29,24,18.92,80,,7.93
14/05/2022 17:56:40,24,19.11,79,,8.51
14/05/2022 18:07:56,24,19.06,79,,8.26
14/05/2022 18:09:12,24,19.06,79,,8.26
14/05/2022 18:16:24,24,19.06,79,0,8.26
14/05/2022 18:26:53,24,19.06,0.79,0,8.26
14/05/2022 18:27:00,24,19.06,0.79,0,8.26
14/05/2022 18:31:30,24,19.06,0.79,0,8.26
14/05/2022 18:33:25,24,19.06,0.79,0,8.26
14/05/2022 18:33:32,24,19.06,0.79,0,8.26
14/05/2022 18:38:20,24,19.06,0.79,0,8.26
14/05/2022 18:38:28,24,19.06,0.79,0,8.26
14/05/2022 18:52:44,24,19.06,0.79,0,8.26
14/05/2022 18:58:35,24,19.06,0.79,0,8.26
14/05/2022 18:58:43,24,19.06,0.79,0,8.26
14/05/2022 18:59:35,24,19.06,0.79,0,8.26
14/05/2022 18:59:43,24,19.06,0.79,0,8.26
14/05/2022 18:59:51,24,19.06,0.79,0,8.26
14/05/2022 18:59:59,24,19.06,0.79,0,8.26
14/05/2022 19:00:12,24,19.06,0.79,0,8.26
14/05/2022 19:00:20,24,19.06,0.79,0,8.26
14/05/2022 19:00:28,24,19.06,0.79,0,8.26
14/05/2022 19:00:40,24,19.06,0.79,0,8.26
14/05/2022 19:00:50,24,18.98,0.79,0,8.24
14/05/2022 19:01:03,24,18.98,0.79,0,8.24
14/05/2022 19:01:12,24,18.98,0.79,0,8.24
14/05/2022 19:01:21,24,18.98,0.79,0,8.24
14/05/2022 19:01:30,24,18.98,0.79,0,8.24
14/05/2022 19:01:39,24,18.98,0.79,0,8.24
14/05/2022 19:01:48,24,18.98,0.79,0,8.24
14/05/2022 19:01:57,24,18.98,0.79,0,8.24
14/05/2022 19:02:05,24,18.98,0.79,0,8.24
14/05/2022 19:02:14,24,18.98,0.79,0,8.24
14/05/2022 19:02:22,24,18.98,0.79,0,8.24
14/05/2022 19:02:30,24,18.98,0.79,0,8.24
14/05/2022 19:02:38,24,18.98,0.79,0,8.24
14/05/2022 19:02:46,24,18.98,0.79,0,8.24
14/05/2022 19:02:54,24,18.98,0.79,0,8.24
14/05/2022 19:03:02,24,18.98,0.79,0,8.24
14/05/2022 19:03:09,24,18.98,0.79,0,8.24
14/05/2022 19:03:18,24,18.98,0.79,0,8.24
14/05/2022 19:08:00,24,18.98,0.79,0,8.24
14/05/2022 19:11:01,24,18.98,0.79,0,8.24
14/05/2022 19:12:43,24,18.98,0.79,0,8.24
14/05/2022 19:14:47,24,18.98,0.79,0,8.24
14/05/2022 19:16:01,24,18.98,0.79,0,8.24
14/05/2022 19:23:48,24,18.98,0.79,0,8.24
14/05/2022 19:25:06,24,18.98,0.79,0,8.24
14/05/2022 19:25:38,24,18.98,0.79,0,8.24
14/05/2022 19:27:28,24,18.98,0.79,0,8.24
14/05/2022 19:28:30,24,18.98,0.79,0,8.24
14/05/2022 19:30:08,24,18.98,0.79,0,8.24
14/05/2022 19:30:35,24,18.98,0.79,0,8.24
14/05/2022 19:30:47,24,18.98,0.79,0,8.24
1
